333,260567881,mcmcmcmcm,1,mcmcmcmcm,17,game00333.log,
334,260567881,mcmcmcmcm,1,mcmcmcmcm,20,game00334.log,
335,260567881,mcmcmcmcm,0,260567881,25,game00335.log,
336,260567881,mcmcmcmcm,0,260567881,12,game00336.log,
337,260567881,mcmcmcmcm,0,260567881,17,game00337.log,
338,260567881,mcmcmcmcm,1,mcmcmcmcm,25,game00338.log,
339,260567881,mcmcmcmcm,1,mcmcmcmcm,15,game00339.log,
340,260567881,mcmcmcmcm,1,mcmcmcmcm,18,game00340.log,
341,260567881,mcmcmcmcm,1,mcmcmcmcm,20,game00341.log,
342,260567881,mcmcmcmcm,1,mcmcmcmcm,21,game00342.log,
343,260567881,mcmcmcmcm,1,mcmcmcmcm,23,game00343.log,
344,260567881,mcmcmcmcm,0,260567881,22,game00344.log,
345,260567881,mcmcmcmcm,0,260567881,21,game00345.log,
346,260567881,mcmcmcmcm,0,260567881,13,game00346.log,
347,260567881,mcmcmcmcm,1,mcmcmcmcm,19,game00347.log,
348,260567881,mcmcmcmcm,1,mcmcmcmcm,17,game00348.log,
349,260567881,mcmcmcmcm,0,260567881,19,game00349.log,
350,260567881,mcmcmcmcm,1,mcmcmcmcm,24,game00350.log,
351,260567881,mcmcmcmcm,1,mcmcmcmcm,14,game00351.log,
352,260567881,mcmcmcmcm,1,mcmcmcmcm,15,game00352.log,
353,260567881,mcmcmcmcm,1,mcmcmcmcm,14,game00353.log,
354,260567881,mcmcmcmcm,0,260567881,20,game00354.log,
355,260567881,mcmcmcmcm,1,mcmcmcmcm,25,game00355.log,
356,260567881,mcmcmcmcm,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,28,game00356.log,
357,260567881,mcmcmcmcm,1,mcmcmcmcm,21,game00357.log,
358,260567881,mcmcmcmcm,1,mcmcmcmcm,22,game00358.log,
359,260567881,mcmcmcmcm,1,mcmcmcmcm,16,game00359.log,
360,260567881,mcmcmcmcm,1,mcmcmcmcm,10,game00360.log,
361,260567881,mcmcmcmcm,1,mcmcmcmcm,26,game00361.log,
362,260567881,mcmcmcmcm,1,mcmcmcmcm,17,game00362.log,
363,260567881,mcmcmcmcm,1,mcmcmcmcm,13,game00363.log,
364,260567881,mcmcmcmcm,1,mcmcmcmcm,13,game00364.log,
365,260567881,mcmcmcmcm,1,mcmcmcmcm,16,game00365.log,
366,260567881,mcmcmcmcm,1,mcmcmcmcm,18,game00366.log,
367,260567881,mcmcmcmcm,1,mcmcmcmcm,17,game00367.log,
368,260567881,mcmcmcmcm,1,mcmcmcmcm,17,game00368.log,
369,260567881,mcmcmcmcm,1,mcmcmcmcm,21,game00369.log,
370,260567881,mcmcmcmcm,1,mcmcmcmcm,25,game00370.log,
371,260567881,mcmcmcmcm,1,mcmcmcmcm,16,game00371.log,
372,260567881,mcmcmcmcm,0,260567881,19,game00372.log,
373,260567881,mcmcmcmcm,1,mcmcmcmcm,15,game00373.log,
374,260567881,mcmcmcmcm,0,260567881,21,game00374.log,
375,260567881,mcmcmcmcm,0,260567881,17,game00375.log,
376,260567881,mcmcmcmcm,0,260567881,17,game00376.log,
377,260567881,mcmcmcmcm,1,mcmcmcmcm,34,game00377.log,
378,260567881,mcmcmcmcm,0,260567881,15,game00378.log,
379,260567881,mcmcmcmcm,0,260567881,13,game00379.log,
380,260567881,mcmcmcmcm,1,mcmcmcmcm,18,game00380.log,
381,260567881,mcmcmcmcm,1,mcmcmcmcm,23,game00381.log,
382,260567881,mcmcmcmcm,1,mcmcmcmcm,18,game00382.log,
383,260567881,mcmcmcmcm,1,mcmcmcmcm,14,game00383.log,
384,260567881,mcmcmcmcm,1,mcmcmcmcm,20,game00384.log,
385,260567881,mcmcmcmcm,1,mcmcmcmcm,13,game00385.log,
386,260567881,mcmcmcmcm,0,260567881,9,game00386.log,
387,260567881,mcmcmcmcm,0,260567881,20,game00387.log,
388,260567881,mcmcmcmcm,0,260567881,19,game00388.log,
389,260567881,mcmcmcmcm,1,mcmcmcmcm,15,game00389.log,
390,260567881,mcmcmcmcm,1,mcmcmcmcm,16,game00390.log,
391,260567881,mcmcmcmcm,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,18,game00391.log,
392,260567881,mcmcmcmcm,0,260567881,17,game00392.log,
393,260567881,mcmcmcmcm,1,mcmcmcmcm,20,game00393.log,
394,260567881,mcmcmcmcm,1,mcmcmcmcm,20,game00394.log,
395,260567881,mcmcmcmcm,1,mcmcmcmcm,22,game00395.log,
396,260567881,mcmcmcmcm,1,mcmcmcmcm,10,game00396.log,
